Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.21,0.21,
1,[1],,,0.07,0.14,
2,[2],Nf6,,-0.11,-0.18,
3,[2],,c4,-0.17,0.06,
4,[3],g6,,-0.47,-0.3,
5,[3],,Nc3,-0.39,-0.08,
6,[4],Bg7,,-0.52,-0.13,
7,[4],,e4,-0.44,-0.08,
8,[5],O-O,,-0.57,-0.13,
9,[5],,Nf3,-0.44,-0.13,
10,[6],c5,,-0.64,-0.2,
11,[6],,d5,-0.63,-0.01,
12,[7],Ng4,,-0.61,0.02,
13,[7],,Ng5,-0.54,-0.07,
14,[8],d6,,-0.34,0.2,
15,[8],,Be2,-0.48,0.14,
16,[9],Ne5,,-0.45,0.03,
17,[9],,h4,-0.28,-0.17,
18,[10],h6,,-0.31,-0.03,
19,[10],,Nh3,-0.28,-0.03,
20,[11],h5,,-0.35,-0.07,
21,[11],,Ng5,-0.24,-0.11,
22,[12],Na6,,-0.26,-0.02,
23,[12],,a3,-0.17,-0.09,
24,[13],Bd7,,-0.3,-0.13,
25,[13],,Bf4,-0.35,0.05,
26,[14],Qa5,,-0.46,-0.11,
27,[14],,Bd2,-0.32,-0.14,
28,[15],Qd8,,-0.41,-0.09,
29,[15],,Rb1,-0.45,0.04,
30,[16],Rb8,,-0.5,-0.05,
31,[16],,O-O,-0.4,-0.1,
32,[17],Ng4,,-0.56,-0.16,
33,[17],,g3,-0.39,-0.17,
34,[18],Nc7,,-0.41,-0.02,
35,[18],,b4,-0.4,-0.01,
36,[19],b6,,-0.39,0.01,
37,[19],,Kg2,-0.15,-0.24,
38,[20],Qc8,,-0.17,-0.02,
39,[20],,Qc2,-0.24,0.07,
40,[21],e6,,-0.66,-0.42,
41,[21],,bxc5,-0.55,-0.11,
42,[22],dxc5,,-0.93,-0.38,
43,[22],,Nd1,0.0,-0.93,
44,[23],exd5,,-0.43,-0.43,
45,[23],,cxd5,-0.43,0.0,
46,[24],Qe8,,-0.81,-0.38,
47,[24],,Bf4,-0.77,-0.04,
48,[25],Ne5,,-0.68,0.09,
49,[25],,Nf3,0.15,-0.83,
50,[26],Nxf3,,0.0,-0.15,
51,[26],,Bxf3,0.0,0.0,
52,[27],Nb5,,0.05,0.05,
53,[27],,Bxb8,0.07,-0.02,
54,[28],Qxb8,,0.29,0.22,
55,[28],,Qc1,0.43,-0.14,
56,[29],Nd4,,0.46,0.03,
57,[29],,Ne3,0.57,-0.11,
58,[30],Bh6,,-0.13,-0.7,
59,[30],,Qd1,0.55,-0.68,
60,[31],Bb5,,-0.35,-0.9,
61,[31],,Re1,-0.27,-0.08,
62,[32],Qe5,,-0.65,-0.38,
63,[32],,a4,-0.92,0.27,
64,[33],Ba6,,-1.38,-0.46,
65,[33],,Nc2,-1.24,-0.14,
66,[34],Nxf3,,-1.37,-0.13,
67,[34],,Qxf3,-1.33,-0.04,
68,[35],Re8,,-1.56,-0.23,
69,[35],,Rbd1,-1.29,-0.27,
70,[36],Rd8,,-1.56,-0.27,
71,[36],,Kg1,-1.11,-0.45,
72,[37],Bc8,,-1.37,-0.26,
73,[37],,Ne3,-0.98,-0.39,
74,[38],Qc3,,-1.12,-0.14,
75,[38],,Qe2,-1.28,0.16,
76,[39],Qa3,,-1.8,-0.52,
77,[39],,Nc4,-1.31,-0.49,
78,[40],Qxa4,,-1.83,-0.52,
79,[40],,Ra1,-1.99,0.16,
80,[41],Qd7,,-2.18,-0.19,
81,[41],,Ne5,-2.19,0.01,
82,[42],Qh3,,-3.43,-1.24,Erreur
83,[42],,Rxa7,-3.24,-0.19,
84,[43],Bg7,,-6.23,-2.99,Erreur
85,[43],,Qf3,-6.69,0.46,
