idGame;d1/d2;d2/d3;d3/d4;d4/d5;d5/d6;d6/d7;d7/d8;d8/d9;d9/d10;d10/d11;d11/d12;d12/d3;d13/d14;d14/d15;d15/d16;d16/d17;d17/d18;d18/d19;d19/d20
82593;;443588;57006;500559;116931;141905;94582;31370;45629;19376;17475;7418;10206;7850;8710;10922;10295;6181;4064;2397
1;;1457839;563914;483432;727664;427756;665459;338344;125546;78583;16966;12484;20740;8862;7460;8314;5487;4650;5546;3950
82592;;2629993;597325;989569;3124583;1795715;1152567;397262;590035;308598;710736;286449;61096;21784;33479;7459;12753;106053;11505999;696583
82595;;1177080;552445;754779;792956;453347;94088;201139;68561;25359;10419;14619;16449;5204;9959;10101;14018;14204;7087;5129
82594;;868930;250324;290034;485830;2128264;996272;920361;383239;631583;9414613;28237244;8860085;29209959;221757;1172444;3035;7696;5273;2868
82597;;80016;32879;126961;52374;50373;44799;7511;3689;4226;1664;1962;625;1749;396;907;514;437;475;544
82596;;167068;242118;455702;940779;973064;1045242;822795;272056;93693;96489;22363;1261519;12740;371382;109468;35541;93767;3527159;1083691
82599;;1574525;42224;268630;628240;726928;587990;212814;279431;11358;15645;7428;4292;4815;4147;2568;3277;2761;3234;4086
82598;;46884;49283;49574;55878;44395;58096;25469;21224;7382;4819;5274;7123;3443;4069;3069;4975;2171;1373;2175
82600;;219478;399654;273154;421628;851957;222820;34982;26974;13000;10659;10288;10428;5149;6939;7032;3635;4303;9888;4509
