FEN;d19;d20
id;10;10
 408 nps 204000 time 2 pv h5f6 e2e4 d6d5 e4d5 e6d5. info depth 4 seldepth 4 multipv 1 score cp -37 n;10;10
1B1K1bk1/5p1p/2Qp1PpP/3P2P1/4q3/8/8/8 b - - 69 136;0;0
1B1K1bk1/5p1p/2Qp1PpP/3Pq1P1/8/8/8/8 w - - 70 136;0;0
1B1K2R1/8/4r1p1/1bk2pPp/5P1P/8/8/8 w - - 37 72;0;0
1B1K2R1/8/r5p1/1bk2pPp/5P1P/8/8/8 b - - 36 72;0;0
1B1K3R/P7/8/k1r5/8/8/8/8 b - - 2 79;-10;-10
1B1K3R/P7/8/k2r4/8/8/8/8 w - - 3 79;10;10
1B1K4/1p4p1/p1b1k1p1/P1P1P3/6PP/8/8/8 w - - 1 67;23;23
1B1K4/1p4p1/p1b1k1p1/P1P1P3/7P/6P1/8/8 b - - 6 66;-18;-18
1B1K4/1p4p1/p3k1p1/P1P1P3/b5PP/8/8/8 b - - 0 67;-12;-12
1B1K4/1p4p1/p3k1p1/P1P1P3/b6P/6P1/8/8 w - - 7 66;31;31
1B1K4/4P1k1/2B2pb1/5p1p/5P1P/4n3/8/8 b - - 18 55;-506;-514
1B1K4/4P1k1/5pb1/3B1p1p/5P1P/4n3/8/8 w - - 17 54;500;515
1B1K4/4P1k1/5pb1/3B1p1p/5P1P/8/8/3n4 b - - 16 54;-501;-537
1B1K4/4P1k1/5pb1/5p1p/2B2P1P/8/8/3n4 w - - 15 53;515;525
1B1K4/4P3/2b5/8/p1P1k3/P7/1p6/8 w - - 1 74;-928;-1087
1B1K4/4P3/8/1b6/p1P1k3/P7/1p6/8 b - - 0 74;936;1142
1B1K4/4P3/8/1b6/p3k3/P1P5/1p6/8 w - - 0 73;-1033;-1060
1B1K4/4P3/8/1b6/p3k3/PpP5/8/8 b - - 0 73;823;840
1B1K4/4P3/8/1b6/p3k3/Ppp5/1P6/8 w - - 1 72;-858;-893
1B1K4/4P3/8/8/p3k3/Pppb4/1P6/8 b - - 0 72;824;830
1B1K4/5k2/2B1p1p1/r2pP2p/3P3P/6P1/8/8 b - - 40 75;-377;-384
1B1K4/5k2/p1P1b3/1p3p2/1P3P2/3P4/1P6/8 b - - 2 56;-1390;-1397
1B1K4/5k2/r1B1p1p1/3pP2p/3P3P/6P1/8/8 w - - 41 75;505;520
1B1K4/5p2/2b1k1p1/7p/7P/4N1P1/5P2/8 w - - 1 53;272;277
1B1K4/5p2/2b1k1p1/7p/7P/4N3/5PP1/8 b - - 16 52;-287;-286
1B1K4/5p2/4k1p1/7p/b6P/4N1P1/5P2/8 b - - 0 53;-271;-269
1B1K4/5p2/4k1p1/7p/b6P/4N3/5PP1/8 w - - 17 52;279;279
1B1K4/7p/p3k1p1/1b3pP1/5P2/P1P5/7P/8 w - - 3 39;30;45
1B1K4/7p/p3k1p1/5pP1/5P2/P1P5/4b2P/8 b - - 2 39;-27;-27
1B1K4/8/4P3/8/p1p1k3/Pp1b4/1P6/8 b - - 0 71;782;845
1B1K4/8/4P3/8/p3k3/Pppb4/1P6/8 w - - 0 71;-778;-853
1B1K4/8/4bp2/3p1k2/1P1P4/8/8/8 b - - 1 43;-266;-275
1B1K4/8/4bp2/3p4/1P1Pk3/8/8/8 w - - 2 43;368;374
1B1K4/P5p1/4kp2/3p3p/3P3P/5PP1/r7/8 b - - 9 56;0;0
1B1K4/P7/4kp2/3p2pp/3P3P/5PP1/r7/8 w - g6 0 56;0;0
1B1K4/Pk3q2/8/8/4b1p1/8/8/8 w - - 6 56;-4;-4
1B1K4/Pk4q1/8/8/4b1p1/8/8/8 b - - 5 56;2;2
1B1K4/Pk6/2b5/2P4p/7P/8/8/8 b - - 12 63;-114;-114
1B1K4/Pk6/8/2P4p/7P/8/6b1/8 w - - 13 63;131;124
1B1KB3/5k2/r3p1p1/3pP2p/3P3P/6P1/8/8 b - - 42 76;-521;-527
1B1KBk2/8/r3p1p1/3pP2p/3P3P/6P1/8/8 w - - 43 76;593;605
1B1KQb2/5bk1/3p2p1/3Pp1P1/4Pp2/5P2/8/8 b - - 0 56;-814;-1078
1B1Kb3/4P1k1/5p2/5p1p/2B2P1P/8/8/3n4 b - - 14 53;-518;-524
1B1Kbb2/6k1/3p2p1/3Pp1P1/4Pp2/5P2/8/8 w - - 0 56;641;673
1B1Knb2/3Q1bk1/3p2p1/3Pp1P1/4Pp2/5P2/8/8 w - - 23 55;474;538
1B1Knbk1/3Q1b2/3p2p1/3Pp1P1/4Pp2/5P2/8/8 b - - 22 55;-484;-509
1B1N1b1r/2NRp1p1/p4pk1/1p5p/8/6P1/PPP2PBP/6K1 w - h6 0 21;1572;1777
1B1N1b1r/2NRp1pp/p4pk1/1p6/8/6P1/PPP2PBP/6K1 b - - 0 21;-1654;-1675
1B1N1b1r/2Nnp1pp/p4pk1/1p6/8/6P1/PPP2PBP/3R2K1 w - - 4 20;1598;1623
1B1N1b1r/2Nnpkpp/p4p2/1p6/8/6P1/PPP2PBP/3R2K1 b - - 3 20;-1586;-1624
1B1N1b1r/3Rp1p1/p3Npk1/1p5p/8/6P1/PPP2PBP/6K1 b - - 1 22;-1755;-1799
1B1N1b2/1R6/5pp1/2k1p2p/p3P2P/1b3P2/2r3P1/6K1 b - - 6 37;440;437
1B1N1b2/1R6/5pp1/4p2p/p2kP2P/1b3P2/2r3P1/6K1 w - - 7 37;-581;-575
1B1N1b2/1b2pk1p/1p3pp1/3p4/1PnP2P1/4PP1P/4BK2/8 b - - 5 37;-193;-187
1B1N1b2/4k2p/8/2p2pp1/8/2Pb3P/1P3PP1/6K1 w - - 7 34;6;12
1B1N1b2/5Q1k/6p1/7p/8/5P1P/P1P2P2/2K5 b - - 0 37;-3;-3
1B1N1b2/5pkn/r3p3/p3N1n1/2P2KP1/P2R4/8/8 b - - 3 35;-6;-11
1B1N1b2/7R/3k1pp1/4p2p/p3P2P/1b3P2/2r3P1/6K1 b - - 4 36;363;372
1B1N1b2/7R/5pp1/2k1p2p/p3P2P/1b3P2/2r3P1/6K1 w - - 5 36;-417;-416
1B1N1b2/7p/4k3/2p2pp1/8/2Pb3P/1P3PP1/6K1 b - - 6 34;0;0
1B1N1b2/Q4p1k/6p1/7p/8/5P1P/P1P2P2/2K5 w - - 1 36;4;4
1B1N1bk1/1p5p/p1p2p2/6p1/1Pn3P1/2Pr3P/P3RPK1/8 b - - 2 34;438;443
1B1N1bk1/Q4p2/6p1/7p/8/5P1P/P1P2P2/2K5 b - - 0 36;-6;-6
1B1N1bk1/p4p1p/6p1/Q7/4p3/5N1P/P1P2PP1/2K5 b - - 0 34;-6;-6
1B1N1bk1/p4p1p/6p1/Q7/8/5P1P/P1P2P2/2K5 b - - 0 35;-7;-7
1B1N1bk1/p4p1p/6p1/Q7/8/5p1P/P1P2PP1/2K5 w - - 0 34;6;6
1B1N1bk1/p4p2/6p1/Q6p/8/5P1P/P1P2P2/2K5 w - h6 0 35;6;6
1B1N1br1/3Rp1p1/p3N1k1/1p3p1p/4B3/6P1/PPP2P1P/6K1 w - - 0 23;8;8
1B1N1br1/3Rp1p1/p3Npk1/1p5p/4B3/6P1/PPP2P1P/6K1 b - - 3 23;-1726;-1767
1B1N1br1/3Rp1p1/p3Npk1/1p5p/8/6P1/PPP2PBP/6K1 w - - 2 22;6;6
1B1N1br1/3Rp1p1/p5k1/1p3p1p/4BN2/6P1/PPP2P1P/6K1 b - - 1 24;-1717;-1732
1B1N1br1/3Rp1p1/p7/1p3pkp/4BN2/6P1/PPP2P1P/6K1 w - - 2 24;3;3
1B1N1br1/4p1p1/p7/1p1R1pkp/4BN2/6P1/PPP2P1P/6K1 b - - 3 25;-2313;-2422
1B1N1br1/4p3/p5p1/1p1R1pkp/4BN1P/6P1/PPP2P2/6K1 b - h3 0 26;-11;-9
1B1N1br1/4p3/p5p1/1p1R1pkp/4BN2/6P1/PPP2P1P/6K1 w - - 0 25;4;4
1B1N1br1/4p3/p5pk/1p1R1p1p/4BN1P/6P1/PPP2P2/6K1 w - - 1 26;13;8
1B1N1br1/4p3/p5pk/1p1R1p1p/5N1P/3B2P1/PPP2P2/6K1 b - - 2 27;-1374;-1411
1B1N1k1r/p4ppp/2p5/P4P2/2Bb4/5P2/2K3PP/7r b - - 5 27;381;375
1B1N1nk1/1q4pp/4pp2/p1P5/Q2P4/P6P/5PP1/6K1 b - - 0 32;180;198
1B1N1rk1/1p1n1pb1/6pp/p3P3/P1P5/6PP/1P3PB1/n2R2K1 b - - 0 23;-57;-56
1B1N1rk1/8/4R1p1/p7/r7/2n4P/2P3PK/8 w - - 14 51;-14;-20
1B1N1rk1/r3p2p/5bp1/pq1P4/4Q3/7P/1P3PP1/3RR1K1 b - - 0 28;-286;-275
1B1N2k1/1p2R3/p7/1b3pp1/3P4/1Pr2P2/P4KP1/2b5 b - - 5 36;165;171
1B1N2k1/1p6/p7/1b3pp1/3P4/1Pr2P2/P3RKP1/2b5 w - - 4 35;-144;-133
1B1N2k1/2n1p1bp/2p2p2/P4p2/1r6/8/6PP/R5K1 w - - 2 31;434;447
1B1N2k1/2n1p1bp/2p2p2/P4p2/5r2/8/6PP/R5K1 b - - 1 31;-430;-440
1B1N2k1/3P1pp1/p3n2p/2p5/B1P1P3/7P/4rPP1/3R2K1 b - - 0 34;-1312;-1325
1B1N2k1/4pp2/pp3b1p/2p5/P7/2P3Pb/1P3P2/6K1 w - - 0 32;-54;-50
1B1N2k1/6n1/2p2p1p/3p2p1/3P4/7P/7K/8 w - - 2 45;108;104
1B1N2k1/6n1/pp3b1p/5pp1/1P6/P2NPP1P/5K2/8 b - - 0 38;-15;-7
1B1N2k1/8/4R1p1/p4r2/r7/2n4P/2P3PK/8 b - - 13 51;83;60
1B1N2k1/8/6p1/p3Rr2/r7/2n4P/2P3PK/8 w - - 12 50;-100;-88
1B1N2k1/p3pp2/1p3b1p/2p5/P7/2P3Pb/1P3P2/6K1 b - - 1 32;55;48
1B1N2k1/p4rpp/1pQ3n1/5p2/PPqP4/6P1/5P1P/1n2R1K1 b - - 0 31;-222;-223
