Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.43,0.43,
1,[1],,c5,0.55,-0.12,
2,[2],Nf3,,0.56,0.01,
3,[2],,e6,0.7,-0.14,
4,[3],Nc3,,0.54,-0.16,
5,[3],,a6,1.0,-0.46,
6,[4],Be2,,0.72,-0.28,
7,[4],,Nc6,0.87,-0.15,
8,[5],d4,,0.79,-0.08,
9,[5],,cxd4,0.93,-0.14,
10,[6],Nxd4,,0.67,-0.26,
11,[6],,Qc7,0.6,0.07,
12,[7],O-O,,0.76,0.16,
13,[7],,Nf6,0.63,0.13,
14,[8],Be3,,0.56,-0.07,
15,[8],,Be7,0.55,0.01,
16,[9],f4,,0.54,-0.01,
17,[9],,d6,0.6,-0.06,
18,[10],Kh1,,0.1,-0.5,
19,[10],,O-O,0.19,-0.09,
20,[11],Qe1,,0.13,-0.06,
21,[11],,Nxd4,0.37,-0.24,
22,[12],Bxd4,,0.2,-0.17,
23,[12],,b5,0.11,0.09,
24,[13],Qg3,,0.0,-0.11,
25,[13],,Bb7,0.12,-0.12,
26,[14],a3,,-0.01,-0.13,
27,[14],,Rad8,0.34,-0.35,
28,[15],Rae1,,-0.1,-0.44,
29,[15],,Rd7,0.3,-0.4,
30,[16],Bd3,,0.01,-0.29,
31,[16],,Qd8,0.11,-0.1,
32,[17],Qh3,,0.1,-0.01,
33,[17],,g6,0.32,-0.22,
34,[18],f5,,-0.05,-0.37,
35,[18],,e5,0.52,-0.57,
36,[19],Be3,,0.49,-0.03,
37,[19],,Re8,1.27,-0.78,
38,[20],fxg6,,0.8,-0.47,
39,[20],,hxg6,1.21,-0.41,
40,[21],Nd5,,0.0,-1.21,Erreur
41,[21],,Nxd5,0.0,0.0,
42,[22],Rxf7,,0.0,0.0,
43,[22],,Kxf7,0.0,0.0,
44,[23],Qh7+,,0.0,0.0,
45,[23],,Ke6,0.0,0.0,
46,[24],exd5+,,-1.55,-1.55,Erreur
47,[24],,Kxd5,0.0,-1.55,Erreur
48,[25],Be4+,,0.0,0.0,
49,[25],,Kxe4,0.0,0.0,
50,[26],Qf7,,0.0,0.0,
51,[26],,Bf6,0.0,0.0,
52,[27],Bd2+,,0.0,0.0,
53,[27],,Kd4,0.0,0.0,
54,[28],Be3+,,0.0,0.0,
55,[28],,Ke4,0.0,0.0,
56,[29],Qb3,,0.0,0.0,
57,[29],,Kf5,0.0,0.0,
58,[30],Rf1+,,0.0,0.0,
59,[30],,Kg4,0.0,0.0,
60,[31],Qd3,,0.0,0.0,
61,[31],,Bxg2+,1.12,-1.12,Erreur
62,[32],Kxg2,,1.17,0.05,
63,[32],,Qa8+,0.0,1.17,Erreur
64,[33],Kg1,,0.78,0.78,
65,[33],,Bg5,0.0,0.78,
66,[34],Qe2+,,0.06,0.06,
67,[34],,Kh4,0.0,0.06,
68,[35],Bf2+,,0.49,0.49,
69,[35],,Kh3,0.6,-0.11,
70,[36],Be1,,,,#-7#
