idGame;d1/d2;d2/d3;d3/d4;d4/d5;d5/d6;d6/d7;d7/d8;d8/d9;d9/d10;d10/d11;d11/d12;d12/d3;d13/d14;d14/d15;d15/d16;d16/d17;d17/d18;d18/d19;d19/d20
8201;291385;59141;194947;266813;82530;115390;122496;17821;7458;2961;10624;1529;1112;914;1441;605;627;806;692
8202;3813745;161334;562671;1671879;290822;1085557;1949018;17300;25744;8742;5274;3771;2663;1460;2734;1782;1036;1256;1087
8211;546339;807104;77264;982950;409274;206230;753959;50035;8532;5605;4963;1409;1157;1967;1987;829;707;1254;1041
2072;1156576;455926;528427;454729;324286;196357;355173;492339;9418;5579;4473;4230;2594;3493;3355;1691;1986;2241;1936
8220;2298312;342349;1609828;2298147;3499143;1216834;3028530;1032670;27933;12949;12410;6822;5692;7555;4614;7024;4323;3496;4331
8221;1200552;484166;345915;553405;796897;283224;203224;59734;52153;22381;28394;27882;19624;18955;10261;10314;8347;9709;8778
2084;653927;558492;73704;717602;98274;33827;23201;344911;23906;2034;6508;3274;3452;2510;1764;2602;659;1854;1022
8230;1702992;16521;379460;733567;1430614;140433;50485;15707;12624;5202;4490;3297;2259;1582;1103;1424;1255;1759;1109
8231;6788368;1804229;1325095;2204799;2871573;7395546;296428;82877;39503;32379;17057;17896;13976;16576;9823;10411;5942;5308;5207
8238;65457;100159;748630;14151;110828;826580;73128;16654;9200;1872;2665;1568;1212;949;543;916;1044;797;1303
4143;2287878;321423;1561562;1063497;1326917;377037;389988;72787;60780;28728;20841;16720;10434;10644;12517;14923;7679;8380;7651
4144;15739227;14822445;1034854;678473;471505;163420;116005;769142;11922861;14967318;194378;23105634;47670;28601;82428;513038;270996;8849561;26347229
8248;1530933;224901;446761;1279082;538111;989220;83421;66616;34411;24968;20576;20190;15994;15190;12465;11484;9253;6868;7428
5177;836822;549441;83513;123227;398663;147749;32560;41698;14634;4949;11633;4149;4225;5042;3195;2031;2139;1750;1527
8249;1565678;132815;27928;645884;295761;1088340;521458;12494;8426;4110;3037;1540;2288;1911;1109;690;610;673;715
8258;668504;151028;194093;529415;58663;258891;31499;18896;12699;6333;4223;3466;2869;3322;3032;3437;1980;1786;1907
1097;162260;18645;198750;11296;125585;153575;9686;9824;87213;2202;1541;418;738;884;878;658;693;528;566
1098;1535612;136522;416654;1191410;793241;169053;96891;388072;83459;76144;34935;37142;22066;22857;19787;9448;4812;13189;21320
1099;319318;93590;98720;254387;178769;63651;48775;60444;23660;16750;17877;10874;10707;13482;6704;2690;1929;1983;2733
8268;215784;93030;82869;210787;131805;11364;8797;3657;5077;4868;4199;1936;2131;1596;4842;1699;1426;782;740
8269;2288461;927937;681536;821586;1354768;1788626;1453263;177047;97828;66767;42582;31587;17727;19579;6620;16773;8641;7669;5693
1104;4313697;1554729;818067;1004899;1251619;1129621;95039;97963;35398;20865;21780;19751;11742;7460;10713;9459;3868;6321;6995
1105;3550168;862446;1879327;2495145;1575283;2012657;876284;604486;59786;35632;28094;27011;15311;28239;745291;8027488;188367;12619859;10243
6226;1100071;138488;166878;598383;609860;661911;40337;33849;16779;18560;14550;6786;6740;5455;4427;6068;3738;3704;6591
4179;1317406;766651;828814;1648527;718444;1607582;1059374;373091;125207;56637;67808;83726;106688;25527;32866;14942;19707;31756;29141
5203;984127;150542;171325;54358;514918;237895;114488;107571;11411;2777;5709;4346;2929;2270;2069;1538;2947;1595;1467
4180;928608;513137;698993;1375678;418511;392336;322178;327535;399357;218353;66263;46675;22179;31321;64566;70361;30627;57199;60056
5206;62693;13775;36645;35859;103416;14143;37776;75299;5126;2544;2011;3897;1578;1796;1221;1076;1106;591;482
8278;1722620;116420;593768;2108784;434246;337548;593809;241342;112094;70262;38096;31049;30450;30508;30692;18005;26340;12861;24091
8288;504880;26208;30983;455472;44811;28104;33430;20306;10998;4900;3572;2516;1362;1143;1937;1083;1334;929;875
6242;3438640;947097;779357;2136163;433658;227074;2015932;167787;45229;30890;23805;9543;4198;7192;4661;4117;3971;4211;4089
6243;1003944;526173;407948;796329;1204449;430096;123767;157049;79787;39958;32600;23067;21010;12581;21301;16734;10196;9023;17994
6245;1060946;157828;243704;568916;443839;63238;212679;149553;63980;16513;12337;10072;8674;6429;5994;2935;2466;4653;3537
8296;2016475;235182;155117;702378;492236;1005530;1253999;55763;6193;9186;6166;5228;2920;5835;6825;4214;4548;8464;2175
8297;1054941;80449;402608;157030;454431;769212;20325;22304;15327;9532;4654;12126;4339;3689;3026;2110;2324;1224;1797
5231;782685;155514;216335;536037;129994;51817;23463;20112;20466;6745;5420;3304;2587;2892;2811;2004;2435;2250;2172
8306;2311417;539781;946791;1090984;798670;1630284;365972;601466;38330;26700;18830;20382;10603;13266;9661;8586;10118;11230;9829
8307;182560;80636;238528;372267;491559;152320;76835;42606;13852;4986;7330;5015;2608;2292;1249;947;729;1631;1322
6260;684303;284790;565968;320155;123752;149928;30595;38855;16942;17615;16375;8579;5183;5601;6936;3675;6975;5316;10194
8308;1183985;507096;311387;380943;609537;264618;288179;86567;89022;19375;51562;52195;16362;90199;70091;122311;26637;59478;132993
6261;389893;748050;254820;279514;738459;141755;38432;82200;31075;15645;8702;11895;13462;7792;7820;8537;4643;6862;2991
2166;3773232;231399;520161;338872;827750;979786;2869898;1322372;195587;21444;38507;144549;13401;9970;10485;4983;10229;6698;9474
6262;777039;600600;445175;344962;720414;632890;143313;14755262;37873;72008;14593569;26412204;14499530;21209;12366;15229;12782002;9688;12678938
2167;585390;267712;269680;717143;841394;355468;244502;97703;20588;11447;11299;7709;7240;6426;4556;4992;2598;2519;3787
4215;1184911;615999;1604596;2133553;743893;690901;165001;156002;72286;38076;41187;36674;18669;13777;12423;10152;10773;11242;9307
4216;1348115;667717;534706;941718;843973;1234183;253276;322141;67110;18903;34230;44505;58206;19580;35010;38681;6838;7756;12005
6264;3896203;852480;342015;1531068;1825529;1835902;1173450;119942;60911;53044;57065;16992;13699;15217;9025;41070;9224;29695;10286
6265;1477464;334235;269554;317996;425989;126177;711316;41476;27023;15622;31667;9624;11353;12743;8361;9667;10292;6738;4482
6266;312961;371977;533638;410829;339331;255515;191047;129718;95128;35457;41880;22923;19839;12974;9910;8652;25301;78999;9610
8316;502960;114063;470356;325658;628160;185790;177923;593093;8020;9811;4508;2903;3545;2781;2648;1969;3145;2143;1650
