Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,e6,0.26,-0.11,
2,[2],Nf3,,0.2,-0.06,
3,[2],,d5,0.22,-0.02,
4,[3],g3,,-0.05,-0.27,
5,[3],,Nf6,0.01,-0.06,
6,[4],Bg2,,0.05,0.04,
7,[4],,c5,0.19,-0.14,
8,[5],c4,,0.18,-0.01,
9,[5],,dxc4,0.12,0.06,
10,[6],O-O,,0.22,0.1,
11,[6],,Nc6,0.25,-0.03,
12,[7],dxc5,,0.28,0.03,
13,[7],,Qxd1,0.25,0.03,
14,[8],Rxd1,,0.29,0.04,
15,[8],,Bxc5,0.36,-0.07,
16,[9],Nbd2,,0.29,-0.07,
17,[9],,c3,0.15,0.14,
18,[10],bxc3,,0.22,0.07,
19,[10],,O-O,0.16,0.06,
20,[11],Nb3,,0.26,0.1,
21,[11],,Bb6,0.47,-0.21,
22,[12],Ba3,,0.57,0.1,
23,[12],,Re8,0.73,-0.16,
24,[13],Nfd4,,0.38,-0.35,
25,[13],,Ne5,0.41,-0.03,
26,[14],Nb5,,0.31,-0.1,
27,[14],,Nc4,0.48,-0.17,
28,[15],Bc5,,0.53,0.05,
29,[15],,Bd7,0.59,-0.06,
30,[16],a4,,0.39,-0.2,
31,[16],,Nb2,0.55,-0.16,
32,[17],Rdc1,,0.37,-0.18,
33,[17],,Nxa4,0.6,-0.23,
34,[18],Bxb6,,0.51,-0.09,
35,[18],,Bxb5,0.62,-0.11,
36,[19],Be3,,0.5,-0.12,
37,[19],,Rac8,0.27,0.23,
38,[20],Nd4,,0.11,-0.16,
39,[20],,Bd7,0.0,0.11,
40,[21],c4,,0.21,0.21,
41,[21],,b6,0.13,0.08,
42,[22],Nb5,,0.29,0.16,
43,[22],,Bxb5,0.17,0.12,
44,[23],cxb5,,0.19,0.02,
45,[23],,Nc3,0.2,-0.01,
46,[24],Kf1,,0.31,0.11,
47,[24],,Nfd5,0.24,0.07,
48,[25],Bxd5,,0.28,0.04,
49,[25],,exd5,0.28,0.0,
50,[26],Rxa7,,0.24,-0.04,
51,[26],,d4,0.28,-0.04,
52,[27],Bf4,,0.1,-0.18,
53,[27],,Rc5,0.1,0.0,
54,[28],Bd2,,0.15,0.05,
55,[28],,h6,0.55,-0.4,
56,[29],Rb7,,0.37,-0.18,
57,[29],,Re6,0.48,-0.11,
58,[30],e3,,0.7,0.22,
59,[30],,Rxb5,0.45,0.25,
60,[31],exd4,,0.44,-0.01,
61,[31],,Ne4,0.54,-0.1,
62,[32],Be3,,0.3,-0.24,
63,[32],,Rf6,0.81,-0.51,
64,[33],Rc2,,0.48,-0.33,
65,[33],,Rb3,0.55,-0.07,
66,[34],Kg2,,0.51,-0.04,
67,[34],,Kh7,1.06,-0.55,
68,[35],Bf4,,1.05,-0.01,
69,[35],,Rf5,0.84,0.21,
70,[36],Re7,,0.86,0.02,
71,[36],,Ng5,0.75,0.11,
72,[37],h4,,0.29,-0.46,
73,[37],,Ne6,0.66,-0.37,
74,[38],Be3,,0.73,0.07,
75,[38],,Kg6,0.92,-0.19,
76,[39],Rc6,,0.75,-0.17,
77,[39],,h5,1.12,-0.37,
78,[40],Rd7,,1.04,-0.08,
79,[40],,Rd3,1.4,-0.36,
80,[41],Rxb6,,1.5,0.1,
81,[41],,Kh7,1.46,0.04,
82,[42],Rbd6,,1.43,-0.03,
83,[42],,Rd1,2.1,-0.67,
84,[43],Rd5,,2.08,-0.02,
85,[43],,Rxd5,1.71,0.37,
86,[44],Rxd5,,1.83,0.12,
87,[44],,g6,2.56,-0.73,
88,[45],Kf3,,2.44,-0.12,
89,[45],,Kg7,2.56,-0.12,
90,[46],Rd7,,2.69,0.13,
91,[46],,Nf8,2.63,0.06,
92,[47],Rb7,,2.7,0.07,
93,[47],,Ne6,2.66,0.04,
94,[48],Ke4,,3.04,0.38,
95,[48],,Kf8,3.47,-0.43,
96,[49],d5,,3.15,-0.32,
97,[49],,Ng7,3.34,-0.19,
98,[50],Rb8+,,3.29,-0.05,
99,[50],,Ke7,3.23,0.06,
100,[51],Bc5+,,3.09,-0.14,
101,[51],,Kd7,3.12,-0.03,
102,[52],Rb7+,,3.27,0.15,
103,[52],,Ke8,3.38,-0.11,
104,[53],Rb8+,,3.24,-0.14,
105,[53],,Kd7,3.12,0.12,
106,[54],Rf8,,3.44,0.32,
